"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=equus"
"Access Time","Thu 2017-02-02 21:29:11 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0472"
"Records Found","1631"
"Records Returned","1631"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"194604","occ","","","19951","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
"194605","occ","","","19952","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
"194606","occ","","","19952","Equus cf. calobatus","species","46260","subjective synonym of","Equus francisci","species","46270","Blancan","","4.9","1.8","1460"
"194613","occ","","","19954","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","3507"
"194660","occ","","","19955","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3073"
"194681","occ","","","19959","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3073"
"194689","occ","","","19960","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","3073"
"194728","occ","","","19963","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2518"
"194729","occ","","","19963","Equus calobatus","species","46260","subjective synonym of","Equus francisci","species","46270","Blancan","","4.9","1.8","2518"
"194770","occ","","","19965","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","2886"
"194771","occ","","","19965","Equus (Hemionus) sp.","subgenus","104799","","Equus (Hemionus)","subgenus","104798","Blancan","","4.9","1.8","2886"
