Species	Status	min_age	max_age
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equinanus	extinct	26.3	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus	extinct	20.43	30.8
Parahippus_pristinus	extinct	20.43	30.8
Miohippus_gemmarosae	extinct	20.43	30.8
Miohippus_equinanus	extinct	24.8	26.3
Desmatippus_texanus	extinct	24.8	30.8
Desmatippus_tyleri	extinct	20.43	24.8
Equidae	extinct	20.43	24.8
Kalobatippus_agatensis	extinct	20.43	24.8
Equidae	extinct	20.43	24.8
Parahippus_pawniensis	extinct	20.43	24.8
Parahippus_pawniensis	extinct	20.43	24.8
Desmatippus_texanus	extinct	20.43	24.8
Parahippus_pawniensis	extinct	20.43	24.8
Equidae	extinct	20.43	24.8
Miohippus_gemmarosae	extinct	20.43	24.8
Desmatippus_nebrascensis	extinct	20.43	24.8
Parahippus_pawniensis	extinct	20.43	24.8
Anchitheriinae	extinct	20.43	24.8
